N,FMM,Direct
100, 0.3896141052246094, 0.38693714141845703
100, 0.33917713165283203, 0.35183095932006836
100, 0.3714885711669922, 0.3524782657623291 
300, 0.774177074432373, 3.177360773086548
300, 0.7554950714111328, 3.1768429279327393
300, 0.7777278423309326, 3.2933907508850098
1000, 3.1976821422576904, 36.06549334526062 
1000, 3.191977024078369, 36.31778907775879
1000, 3.206191062927246, 35.17475700378418
3000, 17.4796462059021, 310.3319628238678
3000, 17.307069063186646, 307.5488169193268 
3000, 17.092604875564575, 318.4143421649933
